fname,label
BlaBla0506_110304-DC-17.wav,DC
BlaBla0506_110304-DC-18.wav,DC
BlaBla0506_110304-DC-19.wav,DC
BlaBla0506_110304-DC-20.wav,DC
BlaBla0506_110304-DC-21.wav,DC
BlaBla0506_110304-DC-22.wav,DC
BlaBla0506_110304-DC-24.wav,DC
BlaBla0506_110304-DC-25.wav,DC
BlaBla0506_110304-NekakleC-16.wav,Ne
BlaBla0506_110304-NekakleC-16a.wav,Ne
BlaBla0506_110304-NekakleC-16b.wav,Ne
BlaBla0506_110304-NekakleC-16c.wav,Ne
BlaBla0506_110304-NekakleC-16d.wav,Ne
BlaBla0506_110304-Song-06.wav,So
BlaBla0506_110304-Song-08.wav,So
BlaBla0506_110304-ThuckC-01.wav,Th
BlaBla0506_110304-ThuckC-02.wav,Th
BlaBla0506_110304-ThuckC-03.wav,Th
BlaBla0506_110304-ThuckC-04.wav,Th
BlaBla0506_110304-ThuckC-05.wav,Th
BlaBla0506_110304-WhineC-14.wav,Wh
BlaBla0506_110328-WhineC-15.wav,Wh
BlaBla0506_110328-WhineC-16.wav,Wh
BlaBla0506_110328-WhineC-18.wav,Wh
BlaBla0506_110404-AggC-12.wav,Ag
BlaBla0506_110404-DC-26.wav,DC
BlaBla0506_110404-Song-12.wav,So
BlaBla0506_110405-Song-15.wav,So
BlaLbl8026_110421-DC-01.wav,DC
BlaLbl8026_110421-Tet-03.wav,Te
BlaLbl8026_110421-Tet-04.wav,Te
BlaLbl8026_110421-Tet-06.wav,Te
BlaLbl8026_110422-Tet-07.wav,Te
BlaLbl8026_110422-Tet-08.wav,Te
BlaLbl8026_110422-Tet-09.wav,Te
BlaLbl8026_110422-Tet-10.wav,Te
BlaLbl8026_110422-Tet-11.wav,Te
BlaLbl8026_110422-Tet-13.wav,Te
BlaLbl8026_110425-AggC-02.wav,Ag
BlaLbl8026_110425-Tet-14.wav,Te
BlaLbl8026_110427-AggC-03.wav,Ag
BlaLbl8026_110428-DC-02.wav,DC
BlaLbl8026_110428-Tet-18.wav,Te
BlaLbl8026_110428-Tet-20.wav,Te
BlaLbl8026_110428-Tet-21.wav,Te
BlaLbl8026_110428-Tet-22.wav,Te
BlaLbl8026_110429-AggC-04.wav,Ag
BlaLbl8026_110429-DC-05.wav,DC
BlaLbl8026_110429-DC-06.wav,DC
BlaLbl8026_110429-DC-08.wav,DC
BlaLbl8026_110429-DC-12.wav,DC
BlaLbl8026_110429-DC-15.wav,DC
BlaLbl8026_110429-DC-18.wav,DC
BlaLbl8026_110429-DC-19.wav,DC
BlaLbl8026_110429-DC-23.wav,DC
BlaLbl8026_110429-DC-24.wav,DC
BlaLbl8026_110429-DC-25.wav,DC
BlaLbl8026_110429-DC-26.wav,DC
BlaLbl8026_110429-DC-28.wav,DC
BlaLbl8026_110429-DC-29.wav,DC
BlaLbl8026_110429-DC-30.wav,DC
BlaLbl8026_110429-DC-31.wav,DC
BlaLbl8026_110429-DC-32.wav,DC
BlaLbl8026_110429-DC-33.wav,DC
BlaLbl8026_110429-DC-34.wav,DC
BlaLbl8026_110429-DC-35.wav,DC
BlaLbl8026_110429-DC-36.wav,DC
BlaLbl8026_110429-DC-37.wav,DC
BlaLbl8026_110429-DC-38.wav,DC
BlaLbl8026_110429-DC-39.wav,DC
BlaLbl8026_110429-Tet-23.wav,Te
BlaLbl8026_110502-AggC-06.wav,Ag
BlaLbl8026_110606-NestC-02.wav,Ne
BlaLbl8026_110606-NestC-08.wav,Ne
BlaLbl8026_110606-NestC-09.wav,Ne
BlaLbl8026_110606-NestC-10.wav,Ne
BlaLbl8026_110607-AggC-20.wav,Ag
BlaLbl8026_110607-TukC-05.wav,Tu
BlaLbl8026_110608-Nest-C-13.wav,Ne
BlaLbl8026_110608-Nest-C-14.wav,Ne
BlaLbl8026_110608-TukC-06.wav,Tu
BlaLbl8026_110608-TukC-07.wav,Tu
BlaLbl8026_110608-TukC-08.wav,Tu
BlaLbl8026_110608-TukC-09.wav,Tu
BlaLbl8026_110608-TukC-10.wav,Tu
BlaLbl8026_110608-TukC-11.wav,Tu
BlaLbl8026_110608-TukC-12.wav,Tu
BlaLbl8026_110609-AggC-21.wav,Ag
BlaLbl8026_110609-AggC-22.wav,Ag
BlaLbl8026_110609-AggC-23.wav,Ag
BlaLbl8026_110609-AggC-24.wav,Ag
BlaLbl8026_110609-NestC-19.wav,Ne
BlaLbl8026_110609-NestC-21.wav,Ne
BlaLbl8026_110609-NestC-22.wav,Ne
BlaLbl8026_110609-NestC-23.wav,Ne
BlaLbl8026_110609-NestC-24.wav,Ne
BlaLbl8026_110609-NestC-25.wav,Ne
BlaLbl8026_110609-NestC-26.wav,Ne
BlaLbl8026_110609-NestC-27.wav,Ne
BlaLbl8026_110609-NestC-28.wav,Ne
BlaLbl8026_110609-NestC-29.wav,Ne
BlaLbl8026_110609-NestC-30a.wav,Ne
BlaLbl8026_110609-NestC-30b.wav,Ne
BlaLbl8026_110609-NestC-31a.wav,Ne
BlaLbl8026_110609-NestC-31b.wav,Ne
BlaLbl8026_110609-NestC-31d.wav,Ne
BlaLbl8026_110609-NestC-32B.wav,Ne
BlaLbl8026_110609-NestC-32a.wav,Ne
BlaLbl8026_110609-NestC-34.wav,Ne
BlaLbl8026_110609-NestC-35.wav,Ne
BlaLbl8026_110609-WhiCNestC-32c.wav,Wh
BlaLbl8026_110609-WhineC-07.wav,Wh
BlaLbl8026_110609-WhineC-08.wav,Wh
BlaLbl8026_110609-WhineC-09.wav,Wh
BluRas07dd_110406-TetC-01.wav,Te
BluRas07dd_110406-TetC-02.wav,Te
BluRas07dd_110406-TetC-06.wav,Te
BluRas07dd_110406-TetC-07.wav,Te
BluRas07dd_110406-TetC-08.wav,Te
BluRas07dd_110406-TetC-09.wav,Te
BluRas07dd_110406-TetC-10.wav,Te
BluRas07dd_110406-TetC-11.wav,Te
BluRas07dd_110406-TetC-12.wav,Te
BluRas07dd_110406-TetC-13.wav,Te
BluRas07dd_110406-TetC-14.wav,Te
BluRas07dd_110406-TetC-15.wav,Te
BluRas07dd_110406-TetC-16.wav,Te
BluRas07dd_110407-DC-01.wav,DC
BluRas07dd_110407-DC-03.wav,DC
BluRas07dd_110407-DC-04.wav,DC
BluRas07dd_110407-DC-05.wav,DC
BluRas07dd_110407-TetC-17.wav,Te
BluRas07dd_110407-TetC-18.wav,Te
BluRas07dd_110407-TetC-19.wav,Te
BluRas07dd_110411-TetC-20.wav,Te
BluRas07dd_110411-TetC-21.wav,Te
BluRas07dd_110411-TetC-22.wav,Te
BluRas07dd_110418-DC-06.wav,DC
BluRas07dd_110421-DC-07.wav,DC
BluRas07dd_110421-TetC-26.wav,Te
BluRas07dd_110421-TetC-27.wav,Te
BluRas07dd_110421-TetC-29.wav,Te
BluRas07dd_110425-DC-08.wav,DC
BluRas07dd_110425-DC-09.wav,DC
BluRas07dd_110425-DC-10.wav,DC
BluRas07dd_110427-DC-11.wav,DC
BluRas07dd_110428-DC-13.wav,DC
BluRas07dd_110428-DC-14.wav,DC
BluRas07dd_110429-DC-15.wav,DC
BluRas07dd_110429-DC-16.wav,DC
BluRas07dd_110429-DC-17.wav,DC
BluRas07dd_110429-DC-18.wav,DC
BluRas07dd_110429-DC-19.wav,DC
BluRas07dd_110429-DC-20.wav,DC
BluRas07dd_110429-DC-21.wav,DC
BluRas07dd_110429-DC-22.wav,DC
BluRas07dd_110429-DC-24.wav,DC
BluRas07dd_110429-DC-25.wav,DC
BluRas07dd_110429-DC-26.wav,DC
BluRas07dd_110429-DC-27.wav,DC
BluRas07dd_110429-DC-28.wav,DC
BluRas07dd_110429-DC-29.wav,DC
BluRas07dd_110429-DC-31.wav,DC
BluRas07dd_110511-NestC-01.wav,Ne
BluRas07dd_110511-NestC-02.wav,Ne
BluRas07dd_110511-NestC-03.wav,Ne
BluRas07dd_110511-NestC-04.wav,Ne
BluRas07dd_110511-NestC-06.wav,Ne
BluRas07dd_110511-NestC-08.wav,Ne
BluRas07dd_110511-NestC-09.wav,Ne
BluRas07dd_110511-NestC-10.wav,Ne
BluRas07dd_110511-NestC-11.wav,Ne
BluRas07dd_110511-NestC-12.wav,Ne
BluRas07dd_110511-NestC-15.wav,Ne
BluRas07dd_110511-NestCseq-05.wav,Ne
BluRas07dd_110513-AggC-05.wav,Ag
BluRas07dd_110513-AggC-08.wav,Ag
BluRas07dd_110513-AggC-09.wav,Ag
BluRas07dd_110513-AggC-10.wav,Ag
BluRas07dd_110513-AggC-12.wav,Ag
BluRas07dd_110513-AggC-13.wav,Ag
BluRas07dd_110513-AggC-15.wav,Ag
BluRas07dd_110513-NestC-18.wav,Ne
BluRas07dd_110513-NestC-19.wav,Ne
BluRas07dd_110601-AggC-17.wav,Ag
BluRas07dd_110601-AggC-20.wav,Ag
BluRas07dd_110601-AggC-24.wav,Ag
BluRas07dd_110607-NestC-21.wav,Ne
BluRas07dd_110607-NestSeq-20.wav,Ne
BluRas07dd_110607-NestSeq-22.wav,Ne
BluRas07dd_110607-TukC-01.wav,Tu
BluRas07dd_110607-TukC-02.wav,Tu
BluRas07dd_110607-TukC-03.wav,Tu
BluRas07dd_110607-TukC-04.wav,Tu
BluRas07dd_110607-TukC-05.wav,Tu
BluRas07dd_110607-TukC-06.wav,Tu
BluRas07dd_110607-TukC-07.wav,Tu
BluRas07dd_110607-TukC-08.wav,Tu
BluRas07dd_110607-TukC-09.wav,Tu
BluRas07dd_110607-TukC-10.wav,Tu
BluRas07dd_110607-TukC-11.wav,Tu
BluRas07dd_110607-TukC-12.wav,Tu
BluRas07dd_110607-TukC-14.wav,Tu
BluRas07dd_110607-TukC-15.wav,Tu
BluRas07dd_110607-TukC-18.wav,Tu
BluRas07dd_110607-TukC-19.wav,Tu
BluRas07dd_110607-TukC-20.wav,Tu
BluRas07dd_110607-TukC-21.wav,Tu
BluRas07dd_110607-TukC-22.wav,Tu
BluRas07dd_110607-TukC-23.wav,Tu
BluRas07dd_110608-TukC-24.wav,Tu
BluRas61dd_110406-TetC-01.wav,Te
BluRas61dd_110406-TetC-02.wav,Te
BluRas61dd_110406-TetC-03.wav,Te
BluRas61dd_110406-TetC-04.wav,Te
BluRas61dd_110406-TetC-05.wav,Te
BluRas61dd_110406-TetC-06.wav,Te
BluRas61dd_110406-TetC-07.wav,Te
BluRas61dd_110406-TetC-08.wav,Te
BluRas61dd_110406-TetC-09.wav,Te
BluRas61dd_110406-TetC-10.wav,Te
BluRas61dd_110406-TetC-11.wav,Te
BluRas61dd_110406-TetC-12.wav,Te
BluRas61dd_110406-TetC-13.wav,Te
BluRas61dd_110406-TetC-14.wav,Te
BluRas61dd_110406-TetC-15.wav,Te
BluRas61dd_110406-TetC-16.wav,Te
BluRas61dd_110406-TetC-17.wav,Te
BluRas61dd_110406-TetC-18.wav,Te
BluRas61dd_110406-TetC-19.wav,Te
BluRas61dd_110406-TetC-20.wav,Te
BluRas61dd_110407-DC-01.wav,DC
BluRas61dd_110407-DC-02.wav,DC
BluRas61dd_110407-DC-03.wav,DC
BluRas61dd_110414-DC-04.wav,DC
BluRas61dd_110414-DC-05.wav,DC
BluRas61dd_110414-DC-06.wav,DC
BluRas61dd_110414-DC-07.wav,DC
BluRas61dd_110414-DC-08.wav,DC
BluRas61dd_110414-DC-09.wav,DC
BluRas61dd_110414-DC-10.wav,DC
BluRas61dd_110414-DC-11.wav,DC
BluRas61dd_110414-DC-12.wav,DC
BluRas61dd_110414-DC-13.wav,DC
BluRas61dd_110414-DC-14.wav,DC
BluRas61dd_110414-DC-15.wav,DC
BluRas61dd_110414-Song-08.wav,So
BluRas61dd_110414-TetC-21.wav,Te
BluRas61dd_110414-TetC-22.wav,Te
BluRas61dd_110421-DC-18.wav,DC
BluRas61dd_110421-DC-19.wav,DC
BluRas61dd_110421-DC-20.wav,DC
BluRas61dd_110421-DC-21.wav,DC
BluRas61dd_110421-DC-22.wav,DC
BluRas61dd_110421-DC-23.wav,DC
BluRas61dd_110421-DC-24.wav,DC
BluRas61dd_110421-DC-25.wav,DC
BluRas61dd_110421-DC-26.wav,DC
BluRas61dd_110421-DC-27.wav,DC
BluRas61dd_110421-DC-28.wav,DC
BluRas61dd_110421-DC-29.wav,DC
BluRas61dd_110421-TetC-23.wav,Te
BluRas61dd_110421-TetC-24.wav,Te
BluRas61dd_110421-TetC-25.wav,Te
BluRas61dd_110421-TetC-26.wav,Te
BluRas61dd_110421-TetC-27.wav,Te
BluRas61dd_110421-TetC-28.wav,Te
BluRas61dd_110421-TetC-29.wav,Te
BluRas61dd_110421-TetC-30.wav,Te
BluRas61dd_110422-DC-30.wav,DC
BluRas61dd_110422-DC-31.wav,DC
BluRas61dd_110422-Song-09.wav,So
BluRas61dd_110422-Song-10.wav,So
BluRas61dd_110422-Song-11.wav,So
BluRas61dd_110425-Song-13.wav,So
BluRas61dd_110425-Song-14.wav,So
BluRas61dd_110429-AggC-02.wav,Ag
BluRas61dd_110429-AggC-03.wav,Ag
BluRas61dd_110429-AggC-04.wav,Ag
BluRas61dd_110429-AggC-09.wav,Ag
BluRas61dd_110429-DC-32.wav,DC
BluRas61dd_110429-DC-33.wav,DC
BluRas61dd_110429-DC-34.wav,DC
BluRas61dd_110429-DC-35.wav,DC
BluRas61dd_110429-DC-36.wav,DC
BluRas61dd_110429-DC-37.wav,DC
BluRas61dd_110502-AggC-10.wav,Ag
BluRas61dd_110502-AggC-11.wav,Ag
BluRas61dd_110502-AggC-12.wav,Ag
BluRas61dd_110502-AggC-15.wav,Ag
BluRas61dd_110502-AggC-17.wav,Ag
BluRas61dd_110502-AggC-18.wav,Ag
BluRas61dd_110502-Song-17.wav,So
BluRas61dd_110502-Song-18.wav,So
BluRas61dd_110511-NestC-01.wav,Ne
BluRas61dd_110511-NestC-02.wav,Ne
BluRas61dd_110511-NestC-03.wav,Ne
BluRas61dd_110511-NestC-04.wav,Ne
BluRas61dd_110511-NestC-05.wav,Ne
BluRas61dd_110511-NestC-06.wav,Ne
BluRas61dd_110511-NestC-07.wav,Ne
BluRas61dd_110511-NestC-08.wav,Ne
BluRas61dd_110511-NestC-09.wav,Ne
BluRas61dd_110511-NestC-11.wav,Ne
BluRas61dd_110511-NestC-13.wav,Ne
BluRas61dd_110511-NestC-14.wav,Ne
BluRas61dd_110511-NestC-15.wav,Ne
BluRas61dd_110511-NestC-16.wav,Ne
BluRas61dd_110511-NestC-17.wav,Ne
BluRas61dd_110511-NestC-18.wav,Ne
BluRas61dd_110511-NestC-19.wav,Ne
BluRas61dd_110511-NestC-20.wav,Ne
BluRas61dd_110511-NestC-21.wav,Ne
BluRas61dd_110511-NestC-22.wav,Ne
BluRas61dd_110511-NestC-23.wav,Ne
BluRas61dd_110511-NestC-24.wav,Ne
BluRas61dd_110511-NestC-25.wav,Ne
BluRas61dd_110511-NestC-26.wav,Ne
BluRas61dd_110511-NestC-27.wav,Ne
BluRas61dd_110511-NestC-28.wav,Ne
BluRas61dd_110511-NestC-29.wav,Ne
BluRas61dd_110511-NestC-30.wav,Ne
BluRas61dd_110511-NestC-31.wav,Ne
BluRas61dd_110511-NestC-32.wav,Ne
BluRas61dd_110511-NestC-34.wav,Ne
BluRas61dd_110511-NestC-36.wav,Ne
BluRas61dd_110511-NestC-37.wav,Ne
BluRas61dd_110511-NestC-41.wav,Ne
BluRas61dd_110511-NestCSeq-38.wav,Ne
BluRas61dd_110511-NestCSeq-39.wav,Ne
BluRas61dd_110511-NestCSeq-40.wav,Ne
BluRas61dd_110511-NestCSeq-42.wav,Ne
BluRas61dd_110511-Song-19.wav,So
BluRas61dd_110511-Song-20.wav,So
BluRas61dd_110513-Song-21.wav,So
BluRas61dd_110513-Song-22.wav,So
BluRas61dd_110518-NestC-46.wav,Ne
BluRas61dd_110518-NestC-47.wav,Ne
BluRas61dd_110518-NestC-48.wav,Ne
BluRas61dd_110518-NestC-49.wav,Ne
BluRas61dd_110518-NestC-50.wav,Ne
BluRas61dd_110518-NestC-51.wav,Ne
BluRas61dd_110518-NestCSeq-43.wav,Ne
BluRas61dd_110607-TukC-01.wav,Tu
BluRas61dd_110607-TukC-02.wav,Tu
BluRas61dd_110607-TukC-03.wav,Tu
BluRas61dd_110607-TukC-04.wav,Tu
BluRas61dd_110607-TukC-05.wav,Tu
BluRas61dd_110607-TukC-06.wav,Tu
BluRas61dd_110607-TukC-07.wav,Tu
BluRas61dd_110607-TukC-08.wav,Tu
BluRas61dd_110607-TukC-09.wav,Tu
GraGra0201_110615-DC-02.wav,DC
GraGra0201_110615-DC-03.wav,DC
GraGra0201_110615-DC-04.wav,DC
GraGra0201_110615-TetC-04.wav,Te
GraGra0201_110615-TetC-05.wav,Te
GraGra0201_110615-TetC-06.wav,Te
GraGra0201_110616-DC-06.wav,DC
GraGra0201_110616-TetC-07.wav,Te
GraGra0201_110616-TetC-08.wav,Te
GraGra0201_110616-TetC-09.wav,Te
GraGra0201_110616-TetC-10.wav,Te
GraGra0201_110616-TukC-01.wav,Tu
GraGra0201_110616-TukC-02.wav,Tu
GraGra0201_110616-TukC-03.wav,Tu
GraGra0201_110616-TukC-04.wav,Tu
GraGra0201_110616-TukC-05.wav,Tu
GraGra0201_110616-TukC-06.wav,Tu
GraGra0201_110617-DC-08.wav,DC
GraGra0201_110617-DC-09.wav,DC
GraGra0201_110617-DC-10.wav,DC
GraGra0201_110617-TetC-11.wav,Te
GraGra0201_110617-TetC-12.wav,Te
GraGra0201_110617-TetC-13.wav,Te
GraGra0201_110617-TetC-14.wav,Te
GraGra0201_110617-TetC-15.wav,Te
GraGra0201_110617-TetC-16.wav,Te
GraGra0201_110617-TetC-17.wav,Te
GraGra0201_110617-TetC-18.wav,Te
GraGra0201_110617-TetC-19.wav,Te
GraGra0201_110617-TetC-20.wav,Te
GraGra0201_110617-TetC-21.wav,Te
GraGra0201_110617-TetC-22.wav,Te
GraGra0201_110617-TetC-23.wav,Te
GraGra0201_110617-TetC-24.wav,Te
GraGra0201_110617-TukC-07.wav,Tu
GraGra0201_110617-TukC-08.wav,Tu
GraGra0201_110617-TukC-09.wav,Tu
GraGra0201_110617-TukC-10.wav,Tu
GraGra0201_110617-TukC-11.wav,Tu
GraGra0201_110617-TukC-12.wav,Tu
GraGra0201_110617-TukC-13.wav,Tu
GraGra0201_110620-AggC-02.wav,Ag
GraGra0201_110620-AggC-04.wav,Ag
GraGra0201_110620-DC-12.wav,DC
GraGra0201_110620-DC-15.wav,DC
GraGra0201_110620-DC-16.wav,DC
GraGra0201_110620-DC-17.wav,DC
GraGra0201_110620-DC-20.wav,DC
GraGra0201_110620-DC-21.wav,DC
GraGra0201_110620-DC-22.wav,DC
GraGra0201_110620-NestC-03.wav,Ne
GraGra0201_110620-NestC-04.wav,Ne
GraGra0201_110620-NestC-06.wav,Ne
GraGra0201_110620-NestCSeq-01.wav,Ne
GraGra0201_110620-NestCSeq-02.wav,Ne
GraGra0201_110620-NestCSeq-05.wav,Ne
GraGra0201_110620-NestCSeq-07.wav,Ne
GraGra0201_110620-TetC-25.wav,Te
GraGra0201_110620-TetC-26.wav,Te
GraGra0201_110620-TetC-27.wav,Te
GraGra0201_110620-TetC-28.wav,Te
GraGra0201_110620-TetC-29.wav,Te
GraGra0201_110620-TetC-30.wav,Te
GraGra0201_110620-TetC-31.wav,Te
GraGra0201_110620-TetC-32.wav,Te
GraGra0201_110620-TetC-33.wav,Te
GraGra0201_110620-TetC-34.wav,Te
GraGra0201_110620-TetC-35.wav,Te
GraGra0201_110620-TetC-36.wav,Te
GraGra0201_110620-TetC-37.wav,Te
GraGra0201_110620-TetC-38.wav,Te
GraGra0201_110620-TukC-14.wav,Tu
GraGra0201_110620-TukC-15.wav,Tu
GraGra0201_110620-TukC-16.wav,Tu
GraGra0201_110620-TukC-17.wav,Tu
GraGra0201_110620-TukC-18.wav,Tu
GraGra0201_110620-TukC-19.wav,Tu
GraGra0201_110620-TukC-20.wav,Tu
GraGra0201_110620-TukC-21.wav,Tu
GraGra0201_110622-AggC-05.wav,Ag
GraGra0201_110622-AggC-06.wav,Ag
GraGra0201_110622-NestCSeq-11.wav,Ne
GraGra0201_110622-NestCSeq-12.wav,Ne
GraGra0201_110622-NestCSeq-13.wav,Ne
GraGra0201_110623-AggC-08.wav,Ag
GraGra0201_110623-AggC-09.wav,Ag
GraGra0201_110623-AggC-10.wav,Ag
GraGra0201_110623-AggC-11.wav,Ag
GraGra0201_110623-NestC-22.wav,Ne
GraGra0201_110623-NestC-28.wav,Ne
GraGra0201_110623-NestC-29.wav,Ne
GraGra0201_110623-NestC-30.wav,Ne
GraGra0201_110623-NestC-33.wav,Ne
GraGra0201_110623-NestC-34.wav,Ne
GraGra0201_110623-NestC-38.wav,Ne
GraGra0201_110623-NestCSeq-19.wav,Ne
GraGra0201_110623-NestCSeq-20.wav,Ne
GraGra0201_110623-NestCSeq-23.wav,Ne
GraGra0201_110623-NestCSeq-24.wav,Ne
GraGra0201_110623-NestCSeq-25.wav,Ne
GraGra0201_110623-NestCSeq-26.wav,Ne
GraGra0201_110623-NestCSeq-27.wav,Ne
GraGra0201_110623-NestCSeq-31.wav,Ne
GraGra0201_110623-NestCSeq-32.wav,Ne
GraGra0201_110623-NestCSeq-35.wav,Ne
GraGra0201_110623-NestCSeq-36.wav,Ne
GraGra0201_110623-NestCSeq-40.wav,Ne
GraGra0201_110623-NestCSeq-43.wav,Ne
GraGra0201_110623-NestCSeq-44.wav,Ne
GraGra0201_110623-NestCSeq-45.wav,Ne
GraGra0201_110623-NestCSeq-46.wav,Ne
GraGra0201_110623-NestCSeq-47.wav,Ne
GraGra0201_110623-NestCSeq-48.wav,Ne
GraGra0201_110623-NestCSeq-49.wav,Ne
GraGra0201_110623-NestCSeq-51.wav,Ne
GraGra0201_110623-NestCSeq-52.wav,Ne
GraGra0201_110623-NestCSeq-53.wav,Ne
GraGra0201_110623-NestCSeq-54.wav,Ne
GraGra0201_110623-WhineC-01.wav,Wh
GraGra0201_110623-WhineC-02.wav,Wh
GraGra0201_110623-WhineCSeq-04.wav,Wh
GraGra0201_110623-WhineCSeq-05b.wav,Wh
GraGra0201_110623-WhineCSeq-05d.wav,Wh
GraGra0201_110623-WhineCSeq-05e.wav,Wh
GraGra0201_110623-WhineCSeq-06.wav,Wh
GraGra0201_110627-AggC-12.wav,Ag
GraGra0201_110627-AggC-13.wav,Ag
GraGra0201_110627-NestCSeq-55.wav,Ne
GraGra0201_110630-AggC-14.wav,Ag
GraGra0201_110630-AggC-15.wav,Ag
GraGra0201_110630-DC-23.wav,DC
GraGra0201_110630-DC-24.wav,DC
GraGra0201_110630-DC-26.wav,DC
GraGra0201_110630-DC-27.wav,DC
GraGra0201_110630-DC-28.wav,DC
GraGra0201_110630-DC-29.wav,DC
GraGra0201_110630-DC-30.wav,DC
GraGra0201_110630-DC-31.wav,DC
GraGra0201_110630-DC-32.wav,DC
GraGra0201_110630-DC-33.wav,DC
GraGra0201_110701-DC-34.wav,DC
GraGra0201_110701-DC-35.wav,DC
GraGra0201_110701-DC-36.wav,DC
GraGra0201_110706-DC-37.wav,DC
GraGra0201_110706-DC-38.wav,DC
GraGra0201_110706-DC-39.wav,DC
GraGra0201_110706-DC-40.wav,DC
GraGra0201_110706-DC-41.wav,DC
GraGra0201_110706-DC-42.wav,DC
GraGra0201_110706-DC-43.wav,DC
GraGra0201_110706-DC-44.wav,DC
GraGra0201_110706-DC-45.wav,DC
GraGra0201_110706-DC-46.wav,DC
GraGra0201_110706-DC-47.wav,DC
GraGra0201_110706-DC-48.wav,DC
GraGra0201_110728-DC-49.wav,DC
GraGra0201_110728-DC-50.wav,DC
GraGra0201_110907-ThuckC-01.wav,Th
GraGra0201_110907-ThuckC-02.wav,Th
GraGra0201_110907-ThuckC-03.wav,Th
GraGra0201_110907-ThuckC-04.wav,Th
GraGra0201_110907-ThuckC-05.wav,Th
GraGra0201_110907-ThuckC-06.wav,Th
GraGra0201_110907-ThuckC-07.wav,Th
GraGra0201_110907-ThuckC-08.wav,Th
GraGra0201_110907-ThuckC-09.wav,Th
GraGra0201_110907-ThuckC-11.wav,Th
GraGra0201_110907-ThuckC-12.wav,Th
GraGra0201_110907-ThuckC-13.wav,Th
GraGra0201_110907-ThuckC-14.wav,Th
GraGra0201_110907-ThuckC-15.wav,Th
GraGra0201_110907-ThuckC-16.wav,Th
GraGra0201_110907-ThuckC-17.wav,Th
GraGra0201_110907-ThuckC-18.wav,Th
GraGra0201_110907-ThuckC-19.wav,Th
GraGra0201_110907-ThuckC-20.wav,Th
GraGra0201_110907-ThuckC-21.wav,Th
